SMILES,Title
C1CC1c2ccc(=O)n(n2)C3CC[NH2+]CC3,F1903-9900
[O-]C(=O)C1CCN(CC1)c(c2)nnc(c23)CCC3,F1904-0726
O=C1N(C)CCN1C2CCN(CC2)c(nc3)ncc3F,F1907-9253
C1C[NH2+]CCC1COc2ncnc(C)c2C,F1911-3029
O=c1ccn(c(=O)n1C)CC2CC[NH2+]CC2,F2199-9314
O[C@@H]1CC[N@@H+](C1)C2CCN(CC2)c(nc3)ncc3Cl,F6540-0465
FC(F)(F)c1cc(nc(n1)C)N(C2)C[C@H](C[C@H]23)COC3,F6540-7943
C=C(C1)C[C@H](CC[C@H]12)[N@H+]2Cc3c(C)noc3C,F6541-6011
C=C(C1)C[C@@H](CC[C@@H]12)[N@H+]2Cc3c(C)noc3C,F6541-6011
C=C(C1)C[C@H](CC[C@H]12)N2Cc3c(C)noc3C,F6541-6011
C=C(C1)C[C@H](CC[C@H]12)N2c(s3)nnc3C,F6541-6019
C=C(C1)C[C@H](CC[C@H]12)[N@H+]2Cc3c(C)onc3,F6541-6045
C=C(C1)C[C@@H](CC[C@@H]12)[N@H+]2Cc3c(C)onc3,F6541-6045
C=C(C1)C[C@H](CC[C@H]12)N2Cc3c(C)onc3,F6541-6045
C=C(C1)C[C@H](CC[C@H]12)[N@H+]2Cc3cc(C)no3,F6541-6046
C=C(C1)C[C@@H](CC[C@@H]12)[N@H+]2Cc3cc(C)no3,F6541-6046
C=C(C1)C[C@H](CC[C@H]12)N2Cc3cc(C)no3,F6541-6046
C=C(C1)C[C@H](CC[C@H]12)[N@H+]2Cc3nnc(o3)C,F6541-6051
C=C(C1)C[C@@H](CC[C@@H]12)[N@H+]2Cc3nnc(o3)C,F6541-6051
C=C(C1)C[C@H](CC[C@H]12)N2Cc3nnc(o3)C,F6541-6051
C=C(C1)C[C@H](CC[C@H]12)[N@H+]2Cc3nc(C)on3,F6541-6053
C=C(C1)C[C@@H](CC[C@@H]12)[N@H+]2Cc3nc(C)on3,F6541-6053
C=C(C1)C[C@H](CC[C@H]12)N2Cc3nc(C)on3,F6541-6053
Cc1c(C)[nH+]cnc1N(C2)[C@@H](C[C@@H]23)CC3,F6572-1407
Cc1c(C)ncnc1N(C2)[C@@H](C[C@@H]23)CC3,F6572-1407
CC(C)[N@H+](CC1)CC[C@@H]1Oc(nc2)ncc2F,F6608-2358
