SMILES,Title
COc1c(Cl)cc(cc1)N(C(=O)CCl)[C@H](c2cccs2)C(=O)NCCc3ccccc3,HY-100002
COc1c(Cl)cc(cc1)N(C(=O)CCl)[C@@H](c2cccs2)C(=O)NCCc3ccccc3,HY-100002
n1oc(C)c([N+]([O-])=O)c1C(=O)N2CCN(CC2)C(c3ccc(Cl)cc3)c4ccc(Cl)cc4,HY-100003
CCOC(=O)[C@@]12C(=CCCC2)N(C(=O)[C@H]1CC(=O)NC)Cc3ccc(cc3)-c4ccccc4,HY-100004
C1CCC1C(=O)NCCCNc(c2C3CC3)nc(nc2)Nc(c4)ccc(c45)C[N@H+](C)CC5,HY-100006A
C1CCC1C(=O)NCCCNc(c2C3CC3)nc(nc2)Nc(c4)ccc(c45)C[N@@H+](C)CC5,HY-100006A
c1cccc(F)c1-c(cc2C[NH2+]C)n(c2)S(=O)(=O)c3cccnc3,HY-100007
[O-]C(=O)\C=C(C)\C=C\C=C(C)\CC\C=C(C)\CCC=C(C)C,HY-100008
CCCCOC(=O)c1c(cccc1)Nc(cc2C(F)(F)F)ccc2,HY-100009
Fc1c(F)ccc(c12)[nH]c(n2)CNc3nc(N4CCOCC4)nc(c35)n(cn5)-c6cc(F)ccc6,HY-100011
Fc1c(F)ccc(c12)nc([nH]2)CNc3nc(N4CCOCC4)nc(c35)n(cn5)-c6cc(F)ccc6,HY-100011
CCOC(=O)c1c(C)c(SC#N)c(s1)NC(=O)c2ccco2,HY-100012
n1ccccc1[C@H](C2)[C@@H]2C(=O)N(C[C@@H]([NH3+])[C@@H](C)CC)c(cc3)ccc3-c(cc4)ccc4CCC,HY-100013A1
n1ccccc1[C@@H](C2)[C@H]2C(=O)N(C[C@@H]([NH3+])[C@@H](C)CC)c(cc3)ccc3-c(cc4)ccc4CCC,HY-100013C
CCS(=O)(=O)Nc(c1)ccc(Oc2c(F)cc(F)cc2)c1-c3cn(C)c(=O)c(c34)[nH]cc4,HY-100015
CCS(=O)(=O)[N-]c(c1)ccc(Oc2c(F)cc(F)cc2)c1-c3cn(C)c(=O)c(c34)[nH]cc4,HY-100015
C[NH+](C)CCCOc(nc1)ccc1-c(cc2)cc3c2ncc(c34)n(C)c(=O)n4C5CCOCC5,HY-100016
N#Cc1ccc(cc1)Cn(n2)c(C)c(c2C(F)(F)F)NC(=O)c3cc(C(=O)N)nc(c34)cc(F)cc4,HY-100017
c1ccccc1-c(n(c23)nc(C(=O)N)cc2)c(n3)-c(cc4)ccc4C5([NH3+])CCC5,HY-100018
Nc1ncnn(c12)c(C[N@@H+](CC3=O)CCN3)c(COC)c2-c(c4)sc(c45)c(OC)cc(C)c5,HY-100019
Nc1ncnn(c12)c(C[N@H+](CC3=O)CCN3)c(COC)c2-c(c4)sc(c45)c(OC)cc(C)c5,HY-100019
Nc1ncnn(c12)c(CN(CC3=O)CCN3)c(COC)c2-c(c4)sc(c45)c(OC)cc(C)c5,HY-100019
[O-]C(=O)CCc(c1)ccc(c12)n([C@@H](C3)C[C@H](C)CC3(C)C)c(n2)Nc4ccc(cc4)OC(F)(F)F,HY-100020
[O-]C(=O)CCc(cc1)cc(c12)[nH+]c(Nc3ccc(cc3)OC(F)(F)F)n2[C@@H](C4)C[C@H](C)CC4(C)C,HY-100020
C1CCCCC12n3c(C(=O)N2)c(C)cc(c3=O)Nc4cc(N)ncn4,HY-100022
n1cncc(F)c1[C@]2(C)NC(=O)c(c23)cc(cc3)-c4cn[nH]c4,HY-100023
c1ccc(CC)c(c1CC)NC(=O)c2ccn(c23)c4c(CC3)cnc(n4)Nc5c(OC)cc(cc5)N6CC[NH+](C)CC6,HY-100024
c1cccc(c1c23)n(CC)c2ccc(c3)C[NH2+]Cc4c(OC)cccc4,HY-100025A
c1c(N)ncc(c1C(F)F)-c2nc(N3[C@@H](CC[C@@H]34)COC4)nc(n2)N5[C@@H](CC[C@@H]56)COC6,HY-100026
c1c(N)ncc(c1C(F)F)-c2nc(N3[C@@H](CC[C@@H]34)COC4)nc([nH+]2)N5[C@@H](CC[C@@H]56)COC6,HY-100026
[NH3+]CCNC(=O)c1c(scn1)-c2cc(F)ccc2,HY-100027A
c1cccc(OC)c1\C(Br)=C(\C(=O)N2CCCCC2)NC(=O)c3ccc([N+]([O-])=O)cc3,HY-100028
c1cccc(OC)c1\C(Br)=C(\C(=O)N2CCCCC2)N=C([O-])\c3ccc([N+]([O-])=O)cc3,HY-100028
COC(=O)C1=C(C)N=C(c2c(F)cc(F)cn2)[N-][C@@H]1c3c(Cl)cc(F)cc3,HY-100029A
COC(=O)C1=C(C)N=C(c2c(F)cc(F)cn2)[N-][C@H]1c3c(Cl)cc(F)cc3,HY-100029A
OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n(cn2)c(c23)ncnc3N[C@@H]4CCc(c45)cccc5,HY-100032
c1cc(Cl)cc(c12)[nH+]ccc2NCCNc3cc[nH+]c(c34)cc(Cl)cc4,HY-100033
c1cc(Cl)cc(c12)nccc2NCCNc3cc[nH+]c(c34)cc(Cl)cc4,HY-100033
C1COCCN1CC\N=C(C(Cl)=C2[O-])\C(=O)c(c23)nccc3,HY-100034
c1cccc(c1C(F)(F)F)-c2nnc(n2C)C(CC3)(CC4)CCC34c(no5)nc5C(C6)CC6(F)F,HY-100036
CC1(C)CC(CC(C)(C)[NH2+]1)NC(=O)C(=O)Nc(cc2)ccc2C,HY-100039
O1CCC[C@@H]1C(S2)=C(N([C@H]23)C(=O)[C@@H]3[C@@H](C)O)C(=O)OCc4c(C)oc(=O)o4,HY-10004
BrCc1c(C)c(=O)n(n12)c(=O)c(C)c2C,HY-100041
C1C[N@H+](C)C[C@@H](O)[C@H]1c(c(O)cc2O)c(c23)oc(cc3=O)-c4c(Cl)cccc4,HY-10005
C1C[N@@H+](C)C[C@@H](O)[C@H]1c(c(O)cc2O)c(c23)oc(cc3=O)-c4c(Cl)cccc4,HY-10005
CC(C)N(C1=O)S(=O)(=O)Nc(c12)ccc(c2)O,HY-100052
CC(C)N(C1=O)S(=O)(=O)[N-]c(c12)ccc(c2)O,HY-100052
C1C[N@H+](C)C[C@@H](O)[C@H]1c(c(O)cc2O)c(c23)oc(cc3=O)-c4c(Cl)cccc4,HY-10006
C1C[N@@H+](C)C[C@@H](O)[C@H]1c(c(O)cc2O)c(c23)oc(cc3=O)-c4c(Cl)cccc4,HY-10006
O=CC[NH+](C)C,HY-100061A
