ID,smiles,assign
Enamine_2747.maegz,c1cccc(OC)c1CC(=O)N(CC2)CCC2[C@@H](O3)CC[C@@H]3C(=O)N,train
MC_886.maegz,N1CCC[C@@H]1C(=O)N(CC2)CCNC(=O)[C@@H](CC(C)C)NC(=O)c(cc(F)cc3)c3OCCn(cc24)nn4,train
MC_189.maegz,c12c3cc(cnc3)C(=O)N[C@H](CC(C)C)C(=O)NCCN(Cc4c(Cl)cc(F)cc4)Cc(c2)cc(OC)c1OC,train
GLL_2908.maegz,OCCS(=O)(=O)CCn(c(=O)n(c1=O)CCC)c(c12)nc([nH]2)C3CCCC3,train
GLL_9773.maegz,CC(C)OC(=O)[C@@H](O1)[C@@H](C([O-])=O)Oc(c12)ccc(c2)C[C@@H](C)[NH2+]C[C@H](O)c3cc(Cl)ccc3,train
MC_330.maegz,FC(F)(F)c1cc(ccc1)C[N@H+](C2)C[C@@H]([C@H]23)OCc4cc(ccc4)Oc5c(OC)ccc(c5)CN(C)CC(=O)N3,train
GLL_9489.maegz,n1ccccc1C(=O)N(CC2)CCC2C[N@@H+](CC3)Cc(c34)cccc4,train
GLL_3203.maegz,CC(C)(C)OC(=O)CCc1ccc(cc1)CCNc(n2)nc(N)n(c23)nc(n3)-c4ccco4,train
Enamine_3148.maegz,n1c[nH]c(c12)ccc(c2)C(=O)NC[C@H]3[C@@H](N(C)CCO3)c4cncn4C,train
Enamine_3680.maegz,C1CO[C@H](CC)C[C@@H]1CC(=O)Nc(cccc2)c2-c(o3)ncc3C,train
GLL_7692.maegz,Cc1cc(ccc1)NC(=O)N[C@H]2N=C(c(cccc3)c3N(C2=4)C[C@@H](C)[NH+]4)c5ccccc5,train
GLL_824.maegz,c1cccc(C)c1C(=O)Nc(cc2)ccc2C(=O)N(c(c3c45)cccc3)CCc4cccc5,train
PDBuniq_453.maegz,c1c(O)ccc(c1C(F)(F)F)[C@@H](CC2)C[C@H]([C@]23C)CC[C@@H]3O,train
GLL_15574.maegz,CS(=O)(=O)N(C)[C@H](CC1)C[C@@H]2[N@@H+]1CCc(c23)cc(cc3)OC,train
Enamine_3953.maegz,NC(=O)c1c(F)ccc(c1)NC(=O)c2ccnn2CC3CCC3,train
DEKOLS2_2940.maegz,c1cccc(c12)SC(/N2)=C(\C#N)c3ccnc(n3)NCCc4ccc(cc4)OC,train
GLL_5065.maegz,CC(=O)N1CCN(CC1)c(c2)ccc(c23)nc(CCCC)n(c3=O)Cc4ccc(cc4)-c(cccc5)c5-c6[n-]nnn6,train
MC_952.maegz,CC(=O)N(CC1)CCC1C(=O)N(C2)C[C@@H]([C@H]23)OCc4cc(ccc4)Oc5cc(ccc5)C[N@H+](C6CC6)CC(=O)N3,train
Enamine_5729.maegz,C1CC1c(cc[nH]2)c2C(=O)N[C@H](CCC3=O)[C@@H](N3C)c4ccnn4C,train
PDBuniq_1168.maegz,FC(F)(F)Oc(cc1)cc(c12)sc(n2)N,train
GLL_14730.maegz,CC1(C)CC(=O)N(C(=O)C1)CCCS(=O)(=O)N2CCC[C@H](C3)[C@@H]2C[C@@H]4[N@@H+]3CCc(c45)cc(cc5)OC,train
GLL_14976.maegz,Cc(o1)nc(c12)ccc3c2O[C@H](CO3)C[N@@H+](CC4)CC[C@@H]4n5c(=O)[nH]c(c56)cccc6,train
GLL_5720.maegz,Cc1cc(nc(n1)C)OCc2ccc(cc2)-c(cccc3)c3-c4[n-]nnn4,train
GLL_9524.maegz,c1cc(F)ccc1C(=O)[C@H]2CC[N@@H+](CC2)CCCCn(cc3)c(c34)/C(=N/O)CCN(C)S4(=O)=O,train
GLL_7326.maegz,CCOc(ccc1)cc1[C@H](c2ccccn2)n(nc3C([O-])=O)c(c34)c5c(CC4)cc(cc5)OCc6cncnc6,train
MC_171.maegz,C1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)c(cc(C)cc2)c2OCCn(cc13)nn3,train
GLL_13488.maegz,[nH]1c[nH+]cc1[C@](C)(C2)Cc(c23)ccc(F)c3,train
GLL_4765.maegz,[O-]C(=O)CNc(cc1)ccc1CC[NH2+][C@H](C)[C@H](O)c2ccc(O)cc2,train
GlideDecoy_442.maegz,C1CCc(c12)nc3c(cccc3)c2NC(=O)CN4CC[NH+](CC4)Cc5ccccc5,train
Enamine_9237.maegz,C[NH+](C)CCN(C)C(=O)[C@@H](CCC1=O)[C@H](N1C)c2n(C)cc[nH+]2,train
MC_2492.maegz,c12ccc(cc1)CN(C(=O)COC)CCCCNC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)CC)Cc3ccc(cc3)OC,train
Enamine_9393.maegz,NS(=O)(=O)N(C)Cc1c(cccc1)N2CCCC2,train
MC_2449.maegz,C1C[NH2+]CCC1C(=O)N(C2)C[C@@H]([C@H]23)Oc4ccc(cc4)CNC(=O)COc5cc(C(=O)N3)cc(c5)OCC6CC6,train
GLL_2600.maegz,[C@H]12CC[C@@H]([N@H+]2C)C[C@H](C1)OC(=O)c3nn4[C@H](O)COc(c4c35)ccc5,train
GlideDecoy_839.maegz,c1cc(C([O-])=O)cc2c1N[C@H]([C@H]([C@H]23)CC=C3)c(c4)ccc(c4[N+]([O-])=O)OC,train
GLL_5850.maegz,c1ccccc1C(c2ccccc2)C(=O)N([C@@H](C([O-])=O)C3)Cc(c34)ccc(c4)Oc5ccccc5,train
GLL_4397.maegz,N1C=[NH+]C[C@@H]1C[C@@H](C2)Cc(c23)ccc(F)c3,train
GLL_7801.maegz,C1CCCC[NH+]1CCCOc(cc2)ccc2-c(c3)c(CC)n(c34)cccc4,train
GLL_4683.maegz,NNc1ccc(nn1)OCC(C)(C)[NH2+]C[C@@H](O)COc2c(Cl)cccc2,train
GLL_11633.maegz,C[N@@H+]1CCc(cc(c(c2)O)OC)c2[C@H]3[C@H]1Cc(c34)cccc4,train
PDBuniq_179.maegz,N#Cc1ccc(cc1)O[C@H](CC2)CC[C@@H]2NC(=O)CCSc([nH]c3=O)nc(c34)cccc4,train
GLL_3379.maegz,s1cccc1CNc2c(C#N)c(nc(c23)cccc3)NC(=O)c4ccsc4,train
GlideDecoy_164.maegz,S=c1[nH]c([S-])nc(c12)[nH]nc2-c(c3)[nH]c(c34)CCCC4,train
GLL_15233.maegz,C[C@@H]1CN(C[C@H](O1)C)Cc2ccc(cc2)-c(cccc3)c3-c4[n-]nnn4,train
GLL_12472.maegz,Cc(c1)cc(C)cc1CN(C[C@@H](C)CC2)C(=O)c(c3-c4ccc(F)cc4)n2c(=O)c(c35)C[N@@H+](C)CC5,train
Enamine_767.maegz,CN(C)c(cc1)c(F)cc1C(=O)Nc(c2)ccc(C)c2C(=O)N3CCOCC3,train
Enamine_2917.maegz,CC(C)(C)C(=O)N1CCN(CC1)C(=O)NC[C@@H](C(C)C)Cc2ccccc2,train
